id,title,author,price,description,genre
1,The Great Gatsby,F. Scott Fitzgerald,10.99,First published in 1925 this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan. The New York Times noted “gin was the national drink and sex the national obsession” it is an exquisitely crafted tale of America in the 1920s.,Fiction
2, 1984 ,George Orwell,8.99,Winston Smith toes the Party line rewriting history to satisfy the demands of the Ministry of Truth. With each lie he writes Winston grows to hate the Party that seeks power for its own sake and persecutes those who dare to commit thoughtcrimes. But as he starts to think for himself Winston can’t escape the fact that Big Brother is always watching...A startling and haunting novel 1984 creates an imaginary world that is completely convincing from start to finish. No one can deny the novel’s hold on the imaginations of whole generations or the power of its admonitions—a power that seems to grow and not lessen with the passage of time.,Science Fiction
3,To Kill a Mockingbird,Harper Lee,12.99,One of the most cherished stories of all time To Kill a Mockingbird has been translated into more than forty languages sold more than forty million copies worldwide served as the basis for an enormously popular motion picture and was voted one of the best novels of the twentieth century by librarians across the country. A gripping heart-wrenching and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice it views a world of great beauty and savage inequities through the eyes of a young girl as her father—a crusading local lawyer—risks everything to defend a black man unjustly accused of a terrible crime.,Fiction
4,Brave New World,Aldous Huxley,9.99,Aldous Huxley's profoundly important classic of world literature Brave New World is a searching vision of an unequal technologically-advanced future where humans are genetically bred socially indoctrinated and pharmaceutically anesthetized to passively uphold an authoritarian ruling order—all at the cost of our freedom full humanity and perhaps also our souls. “A genius [who] who spent his life decrying the onward march of the Machine” (The New Yorker) Huxley was a man of incomparable talents: equally an artist a spiritual seeker and one of history’s keenest observers of human nature and civilization. Brave New World his masterpiece has enthralled and terrified millions of readers and retains its urgent relevance to this day as both a warning to be heeded as we head into tomorrow and as a thought-provoking satisfying work of literature. Written in the shadow of the rise of fascism during the 1930s Brave New World likewise speaks to a 21st-century world dominated by mass-entertainment technology medicine and pharmaceuticals the arts of persuasion and the hidden influence of elites. ,Science Fiction
5,The Catcher in the Rye,J.D. Salinger,11.99,The hero-narrator of The Catcher in the Rye is an ancient child of sixteen a native New Yorker named Holden Caufield. Through circumstances that tend to preclude adult secondhand description he leaves his prep school in Pennsylvania and goes underground in New York City for three days.,Fiction
6,Pride and Prejudice,Jane Austen,7.99,A classic tale of love and values that unfolds in the class-conscious England of the late 18th century.,Romance
7,The Hobbit,J.R.R. Tolkien,14.99,Bilbo Baggins is persuaded by the wizard Gandalf to accompany thirteen dwarves on a quest to reclaim the Lonely Mountain from the dragon Smaug.,Fantasy
8,Moby-Dick,Herman Melville,13.99,A tried-and-true classic the story of a whaling ship and its mark—the great white whale Moby Dick. Deeply allegorical with stirring prose this is more about the old whaling industry than you ever needed to know yet still profound and moving. Herman Melville’s masterpiece of obsession and the untamed sea one of the greatest works of imagination in literary history—featuring an introduction by Andrew Delbanco and notes by Tom Quirk. This edition features the Northwestern-Newberry edition of Melville's text approved by the Center for Scholarly Editions and the Center for Editions of American Authors of the MLA. Nominated as one of America’s best-loved novels by PBS’s The Great American Read
Moby-Dick still stands as an indisputable literary classic. It is the story of an eerily compelling madman pursuing an unholy war against a creature as vast and dangerous and unknowable as the sea itself. But more than just a novel of adventure more than an encyclopedia of whaling lore and legend Moby-Dick is a haunting mesmerizing and important social commentary populated with several of the most unforgettable and enduring characters in literature. Written with wonderfully redemptive humor Moby-Dick is a profound and timeless inquiry into character faith and the nature of perception. ,Fiction
9,War and Peace,Leo Tolstoy,19.99,A chronicle of Napoleon's invasion of Russia and its impact on Tsarist society seen through the eyes of five aristocratic families.,History
10,The Odyssey,Homer,9.49,Odysseus’ ten-year journey back to Ithaca after the Trojan War.,History
11,Harry Potter and the Sorcerer's Stone,J.K. Rowling,10.99,The adventures of Harry Potter a young wizard on his eleventh birthday when he discovers he is the orphaned son of two powerful wizards.,Fantasy
12,The Hunger Games,Suzanne Collins,8.49,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Science Fiction
13,The Da Vinci Code,Dan Brown,15.99,Harvard symbologist Robert Langdon works to solve a murder in the Louvre Museum and discovers a battle between the Priory of Sion and Opus Dei over the possibility of Jesus having been married to Mary Magdalene.,Fiction
14,The Alchemist,Paulo Coelho,8.99Combining magic mysticism wisdom and wonder into an inspiring tale of self-discovery The Alchemist has become a modern classic selling millions of copies around the world and transforming the lives of countless readers across generations. Paulo Coelho's masterpiece tells the mystical story of Santiago an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts of recognizing opportunity and learning to read the omens strewn along life's path and most importantly to follow our dreams.,Fiction
15,The Book Thief,Markus Zusak,12.49,The story of Liesel Meminger a foster girl living outside of Munich during World War II. She scratches out a meager existence for herself by stealing when she encounters something she can’t resist–books.,History
16,Gone with the Wind,Margaret Mitchell,10.99,The sweeping tale of love and loss set against the backdrop of the American Civil War and the Reconstruction era.,History
17,The Fault in Our Stars,John Green,9.99,The touching story of two teenage cancer patients who begin a life-affirming journey to visit a reclusive author in Amsterdam.,Romance
18,The Chronicles of Narnia,C.S. Lewis,16.99,A series of seven fantasy novels that recount the adventures of children in the world of Narnia guided by the lion Aslan.,Fantasy
19,The Shining,Stephen King,11.99,Jack Torrance becomes winter caretaker at the isolated Overlook Hotel in Colorado hoping to cure his writer's block. He settles in along with his wife Wendy and his son Danny who is plagued by psychic premonitions.,Horror
20,Dracula,Bram Stoker,7.49,The classic Gothic horror story about the Transylvanian vampire Count Dracula and his attempt to move to England.,Horror
